Player,Nation,Pos,Squad,Born
Oscar Wendt\Oscar-Wendt,SWE,DF,M'Gladbach,1985
Timo Werner\Timo-Werner,GER,FW,Chelsea,1996
Ashley Westwood\Ashley-Westwood,ENG,MF,Burnley,1990
Ben White\Ben-White,ENG,DFMF,Brighton,1997
Georginio Wijnaldum\Georginio-Wijnaldum,NED,MF,Liverpool,1990
William\William,BRA,FW,Wolfsburg,1995
William\William,BRA,DFFW,Schalke 04,1995
Brandon Williams\Brandon-Williams,ENG,DF,Manchester Utd,2000
Iñaki Williams\Inaki-Williams,ESP,FW,Athletic Club,1994
Neco Williams\Neco-Williams,WAL,DF,Liverpool,2001
Nico Williams\Nico-Williams,ESP,MF,Athletic Club,2002
Rhys Williams\Rhys-Williams,ENG,DF,Liverpool,2001
Willian\Willian,BRA,FWMF,Arsenal,1988
Joe Willock\Joe-Willock,ENG,MF,Arsenal,1999
Joe Willock\Joe-Willock,ENG,MF,Newcastle Utd,1999
Callum Wilson\Callum-Wilson,ENG,FW,Newcastle Utd,1992
Marten Winkler\Marten-Winkler,GER,FW,Hertha BSC,2002
Harry Winks\Harry-Winks,ENG,MF,Tottenham,1996
Florian Wirtz\Florian-Wirtz,GER,MF,Leverkusen,2003
Yoane Wissa\Yoane-Wissa,COD,FWMF,Lorient,1996
Axel Witsel\Axel-Witsel,BEL,MF,Dortmund,1989
Hannes Wolf\Hannes-Wolf,AUT,MFFW,M'Gladbach,1999
Marius Wolf\Marius-Wolf,GER,DFMF,Köln,1995
Nick Woltemade\Nick-Woltemade,GER,MFFW,Werder Bremen,2002
Jeong Woo-yeong\Jeong-Woo-yeong,KOR,FWMF,Freiburg,1999
Chris Wood\Chris-Wood,NZL,FW,Burnley,1991
Joscha Wosz\Joscha-Wosz,GER,DFFW,RB Leipzig,2002
Xeka\Xeka,POR,MF,Lille,1994
Granit Xhaka\Granit-Xhaka,SUI,MFDF,Arsenal,1992
Reinhold Yabo\Reinhold-Yabo,GER,MFFW,Arminia,1992
Jawad El Yamiq\Jawad-El-Yamiq,MAR,DF,Valladolid,1992
Rubén Yáñez\Ruben-Yanez,ESP,GK,Getafe,1993
Andriy Yarmolenko\Andriy-Yarmolenko,UKR,FWMF,West Ham,1989
Yusuf Yazıcı\Yusuf-Yazici,TUR,FWMF,Lille,1997
DeAndre Yedlin\DeAndre-Yedlin,USA,DF,Newcastle Utd,1993
Burak Yılmaz\Burak-Yilmaz,TUR,FW,Lille,1985
Yoel\Yoel,ESP,GK,Eibar,1988
Okay Yokuşlu\Okay-Yokuslu,TUR,MF,West Brom,1994
Okay Yokuşlu\Okay-Yokuslu,TUR,MF,Celta Vigo,1994
Maya Yoshida\Maya-Yoshida,JPN,DF,Sampdoria,1988
Amin Younes\Amin-Younes,GER,MFFW,Eint Frankfurt,1993
Ashley Young\Ashley-Young,ENG,DF,Inter,1985
Wilitty Younoussa\Wilitty-Younoussa,CMR,MFDF,Dijon,2001
Zaydou Youssouf\Zaydou-Youssouf,FRA,MF,Saint-Étienne,1999
Mattia Zaccagni\Mattia-Zaccagni,ITA,MFFW,Hellas Verona,1995
Dan-Axel Zagadou\Dan-Axel-Zagadou,FRA,DF,Dortmund,1999
Vasilios Zagaritis\Vasilios-Zagaritis,GRE,DF,Parma,2001
Arthur Zagre\Arthur-Zagre,FRA,DFMF,Dijon,2001
Wilfried Zaha\Wilfried-Zaha,CIV,FW,Crystal Palace,1992
Miha Zajc\Miha-Zajc,SVN,MF,Genoa,1994
Denis Zakaria\Denis-Zakaria,SUI,MFDF,M'Gladbach,1996
Joseba Zaldúa\Joseba-Zaldua,ESP,DF,Real Sociedad,1992
Nicola Zalewski\Nicola-Zalewski,POL,MF,Roma,2002
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,CMR,MF,Fulham,1995
Niccolò Zanellato\Niccolo-Zanellato,ITA,MF,Crotone,1998
Cristián Zapata\Cristian-Zapata,COL,DF,Genoa,1986
Duván Zapata\Duvan-Zapata,COL,FW,Atalanta,1991
Gabriele Zappa\Gabriele-Zappa,ITA,DF,Cagliari,1999
Davide Zappacosta\Davide-Zappacosta,ITA,DF,Genoa,1992
Oier Zarraga\Oier-Zarraga,ESP,MF,Athletic Club,1999
Simone Zaza\Simone-Zaza,ITA,FW,Torino,1991
Deyovaisio Zeefuik\Deyovaisio-Zeefuik,NED,DFMF,Hertha BSC,1998
Marvin Zeegelaar\Marvin-Zeegelaar,NED,DF,Udinese,1990
Arber Zeneli\Arber-Zeneli,KVX,MFFW,Reims,1995
Robin Zentner\Robin-Zentner,GER,GK,Mainz 05,1994
Andi Zeqiri\Andi-Zeqiri,SUI,FWDF,Brighton,1999
Mehdi Zerkane\Mehdi-Zerkane,ALG,MFFW,Bordeaux,1999
Ron-Robert Zieler\Ron-Robert-Zieler,GER,GK,Köln,1989
Piotr Zieliński\Piotr-Zielinski,POL,MF,Napoli,1994
Oleksandr Zinchenko\Oleksandr-Zinchenko,UKR,DF,Manchester City,1996
Joshua Zirkzee\Joshua-Zirkzee,NED,FWMF,Parma,2001
Joshua Zirkzee\Joshua-Zirkzee,NED,FW,Bayern Munich,2001
Hakim Ziyech\Hakim-Ziyech,MAR,FWMF,Chelsea,1993
Jeroen Zoet\Jeroen-Zoet,NED,GK,Spezia,1991
Kévin Zohi\Kevin-Zohi,MLI,FWMF,Strasbourg,1996
Kurt Zouma\Kurt-Zouma,FRA,DF,Chelsea,1994
Igor Zubeldia\Igor-Zubeldia,ESP,DF,Real Sociedad,1997
Steven Zuber\Steven-Zuber,SUI,DFMF,Eint Frankfurt,1991
Martín Zubimendi\Martin-Zubimendi,ESP,MF,Real Sociedad,1999
Martin Ødegaard\Martin-Odegaard,NOR,MF,Arsenal,1998
Martin Ødegaard\Martin-Odegaard,NOR,MFFW,Real Madrid,1998
Filip Đuričić\Filip-Djuricic,SRB,MFFW,Sassuolo,1992
